,year,month,season,song_name,artist,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,2000,1,Winter,What A Girl Wants,CHRISTINA AGUILERA,0.754,0.819,C,0.112,0.0684,0,0.345,0.818,142.137,215800
1,2000,1,Winter,Smooth,SANTANA featuring ROB THOMAS,0.691,0.764,A,0.0386,0.112,0.00419,0.0509,0.833,115.98,240013
2,2000,1,Winter,Back At One,BRIAN McKNIGHT,0.661,0.346,B,0.03,0.452,0,0.131,0.256,129.752,263667
3,2000,1,Winter,I Knew I Loved You,SAVAGE GARDEN,0.61,0.497,A,0.0279,0.32,6.11E-05,0.0884,0.739,85.031,250360
4,2000,1,Winter,I Wanna Love You Forever,JESSICA SIMPSON,0.59,0.666,E,0.0244,0.156,0,0.136,0.0743,104.042,263800
5,2000,1,Winter,My Love Is Your Love,WHITNEY HOUSTON,0.77,0.475,G,0.159,0.0561,4.72E-06,0.0607,0.473,82.511,261573
6,2000,1,Winter,Auld Lang Syne,KENNY G,0.16,0.296,C,0.0348,0.111,0.847,0.101,0.0388,62.33,293347
7,2000,1,Winter,I Need To Know,MARC ANTHONY,0.813,0.949,D#/Eb,0.0336,0.486,9.75E-06,0.112,0.792,115.061,227707
8,2000,1,Winter,Bring It All To Me,BLAQUE,0.695,0.579,C,0.0325,0.000479,0,0.0556,0.726,88.957,218187
9,2000,1,Winter,Blue (Da Ba Dee),EIFFEL 65,0.822,0.969,G,0.0582,0.259,0.000153,0.39,0.765,128.007,283748
10,2000,1,Winter,Girl On TV,LFO,0.688,0.716,E,0.0297,0.131,0,0.134,0.352,96.043,247600
11,2000,1,Winter,U Know What's Up,DONELL JONES,0.854,0.543,G#/Ab,0.0844,0.0402,5.73E-05,0.0419,0.868,103.032,243733
12,2000,1,Winter,That's The Way It Is,CELINE DION,0.634,0.886,A,0.0434,0.154,0,0.118,0.577,93.04,241373
13,2000,1,Winter,Then The Morning Comes,SMASH MOUTH,0.729,0.881,F,0.0283,0.0231,0,0.0872,0.963,118.58,182267
14,2000,1,Winter,24/7,KEVON EDMONDS,0.696,0.627,E,0.0334,0.0685,0,0.0993,0.322,116.047,274267
15,2000,1,Winter,Waiting For Tonight,JENNIFER LOPEZ,0.695,0.945,A#/Bb,0.0418,0.00341,0.0727,0.103,0.84,125.013,246427
16,2000,1,Winter,He Can't Love U,JAGGED EDGE,0.721,0.836,G#/Ab,0.206,0.112,0,0.235,0.508,126.279,244053
17,2000,1,Winter,Get It On Tonite,MONTELL JORDAN,0.807,0.498,A#/Bb,0.0756,0.259,3.04E-05,0.0618,0.857,99.001,277413
18,2000,1,Winter,Learn To Fly,FOO FIGHTERS,0.465,0.919,E,0.0408,1.83E-05,2.07E-05,0.262,0.537,135.997,235293
19,2000,1,Winter,Meet Virginia,TRAIN,0.675,0.553,G,0.0486,0.0863,7.58E-06,0.118,0.594,90.02,239933
